OPERATION_ID,TYPE,USER_ID,PRODUCTION,CONSUME,CONSUME_OTHERS,USER_VOLUME,USER_DENSITY,USER_ROLE,FILE_ID,FILE_SIZE,TOPIC_ID,TOPIC_VOLUME,TOPIC_DENSITY,TOPIC_ROLE
1,UPLOAD,251478729,0.008411136344520145,0.01682227268904029,0.05046681806712087,1248,1304.8666408807042,Gamma,38,2,3,7790920,154761.83324472606,Alpha
1,UPLOAD,251478729,0.008411136344520145,0.01682227268904029,0.05046681806712087,1248,1304.8666408807042,Gamma,134,10,12,33670104,621071.7335177362,Beta
1,DOWNLOAD,251478729,0.008411136344520145,0.01682227268904029,0.05046681806712087,1248,1304.8666408807042,Gamma,38,2,3,7790920,154761.83324472606,Alpha
1,DOWNLOAD,251478729,0.008411136344520145,0.01682227268904029,0.05046681806712087,1248,1304.8666408807042,Gamma,134,10,12,33670104,621071.7335177362,Beta
1,DOWNLOAD,251478729,0.008411136344520145,0.01682227268904029,0.05046681806712087,1248,1304.8666408807042,Gamma,134,10,12,33670104,621071.7335177362,Beta
1,DOWNLOAD,251478729,0.008411136344520145,0.01682227268904029,0.05046681806712087,1248,1304.8666408807042,Gamma,134,10,12,33670104,621071.7335177362,Beta
2,DOWNLOAD,386008757,0.0,0.0042055681722600715,0.0,0,0.0,,38,2,3,7790920,154761.83324472606,Alpha
3,UPLOAD,2243532154,0.008411136344520145,0.008411136344520145,0.012616704516780215,36,23.53333377838135,Gamma,185,4,7,20247384,314153.81664669514,Beta
3,UPLOAD,2243532154,0.008411136344520145,0.008411136344520145,0.012616704516780215,36,23.53333377838135,Gamma,299,4,21,5777280,227799.00031396,Gamma
3,DOWNLOAD,2243532154,0.008411136344520145,0.008411136344520145,0.012616704516780215,36,23.53333377838135,Gamma,185,4,7,20247384,314153.81664669514,Beta
3,DOWNLOAD,2243532154,0.008411136344520145,0.008411136344520145,0.012616704516780215,36,23.53333377838135,Gamma,299,4,21,5777280,227799.00031396,Gamma
4,UPLOAD,191780822,0.0042055681722600715,0.0042055681722600715,0.008411136344520145,12,7.433333531022072,Gamma,201,3,14,2462290,161309.08303236213,Gamma
4,DOWNLOAD,191780822,0.0042055681722600715,0.0042055681722600715,0.008411136344520145,12,7.433333531022072,Gamma,201,3,14,2462290,161309.08303236213,Gamma
5,DOWNLOAD,206426766,0.0,0.0042055681722600715,0.0,0,0.0,,201,3,14,2462290,161309.08303236213,Gamma
6,UPLOAD,290023231,0.008411136344520145,0.0,1.2616704516780215,270000,35437.86659669877,Alpha,330,2,2,8456427,117043.13336950539,Alpha
6,UPLOAD,290023231,0.008411136344520145,0.0,1.2616704516780215,270000,35437.86659669877,Alpha,190,4,8,513588,46640.916610047214,Gamma
7,DOWNLOAD,1647753521,0.0,0.0042055681722600715,0.0,0,0.0,,330,2,2,8456427,117043.13336950539,Alpha
8,DOWNLOAD,2375956322,0.0,0.0042055681722600715,0.0,0,0.0,,330,2,2,8456427,117043.13336950539,Alpha
