USER_ID,TYPE,FILE_ID,ARRIVAL_TIME,FILE_SIZE,USER2_ID,RF
4,w,1,184,5,4,0
5,w,2,315,8,5,0
5,w,3,420,4,5,0
8,w,4,586,3,8,0
10,w,5,749,3,10,0
13,w,6,923,9,13,0
12,w,7,1097,4,12,0
19,w,8,1337,4,19,0
57,w,9,1511,5,57,0
106,w,10,1732,4,106,0
17,w,11,1866,2,17,0
12,w,12,2057,6,12,0
10,w,13,2321,6,10,0
14,w,14,2546,8,14,0
75,w,15,2669,5,75,0
21,w,16,2801,3,21,0
98,w,17,3024,7,98,0
2,w,18,3203,1,2,0
4,w,19,3308,9,4,0
11,w,20,3455,6,11,0
1,w,21,3578,7,1,0
16,w,22,3873,1,16,0
44,w,23,4005,7,44,0
6,w,24,4129,8,6,0
100,w,25,4320,8,100,0
14,w,26,4509,8,14,0
94,w,27,4669,8,94,0
73,w,28,4827,6,73,0
81,w,29,5088,5,81,0
22,w,30,5360,4,22,0
417,r,12,1308,6,12,0
447,r,15,1800,5,75,0
127,r,2,1860,8,5,0
269,r,21,2315,7,1,0
354,r,3,2479,4,5,0
276,r,27,2734,8,94,0
342,r,27,3285,8,94,0
429,r,5,4161,3,10,0
458,r,12,4351,6,12,0
192,r,12,4473,6,12,0
1,w,31,5049,5,1,0
506,r,13,5170,6,10,0
190,r,13,5820,6,10,0
163,r,16,6016,3,21,0
534,r,10,6092,4,106,0
412,r,16,6928,3,21,0
366,r,1,6948,5,4,0
164,r,23,7954,7,44,0
8,w,32,8052,3,8,0
280,r,8,8782,4,19,0
150,r,20,8823,6,11,0
200,r,5,9466,3,10,0
315,r,3,9525,4,5,0
366,r,20,9704,6,11,0
308,r,27,10269,8,94,0
507,r,18,10854,1,2,0
141,r,1,10857,5,4,0
395,r,1,11013,5,4,0
529,r,13,11168,6,10,0
22,w,33,11955,6,22,0
355,r,10,12368,4,106,0
474,r,3,12465,4,5,0
6,w,34,13369,4,6,0
128,r,12,13518,6,12,0
217,r,11,13935,2,17,0
472,r,23,14862,7,44,0
26,w,35,15065,6,26,0
267,r,28,15515,6,73,0
206,r,12,15549,6,12,0
529,r,6,16067,9,13,0
456,r,23,16368,7,44,0
492,r,11,16604,2,17,0
82,w,36,16655,4,82,0
221,r,12,16931,6,12,0
326,r,14,17616,8,14,0
508,r,20,18076,6,11,0
488,r,13,18457,6,10,0
182,r,5,18805,3,10,0
272,r,1,19021,5,4,0
534,r,13,19818,6,10,0
483,r,12,20069,6,12,0
121,r,20,20548,6,11,0
202,r,21,20593,7,1,0
234,r,20,21518,6,11,0
390,r,17,21675,7,98,0
379,r,4,21726,3,8,0
517,r,19,21947,9,4,0
171,r,6,22985,9,13,0
538,r,1,23160,5,4,0
4,w,37,23268,2,4,0
315,r,14,23299,8,14,0
343,r,10,23456,4,106,0
269,r,6,24601,9,13,0
508,r,15,25083,5,75,0
2,w,38,25327,4,2,0
125,r,7,25602,4,12,0
408,r,20,26200,6,11,0
145,r,19,26821,9,4,0
528,r,18,27081,1,2,0
334,r,2,27102,8,5,0
411,r,3,27224,4,5,0
222,r,27,27368,8,94,0
6,w,39,28785,6,6,0
183,r,19,28862,9,4,0
192,r,10,29138,4,106,0
492,r,7,29145,4,12,0
354,r,6,29842,9,13,0
418,r,19,30172,9,4,0
1,w,40,30264,3,1,0
147,r,11,30724,2,17,0
505,r,6,32119,9,13,0
477,r,2,32257,8,5,0
178,r,21,32621,7,1,0
408,r,2,32646,8,5,0
272,r,19,33049,9,4,0
194,r,8,33369,4,19,0
200,r,15,33726,5,75,0
17,w,41,34369,4,17,0
303,r,12,34815,6,12,0
245,r,6,34969,9,13,0
244,r,5,35318,3,10,0
494,r,25,35503,8,100,0
118,r,3,36398,4,5,0
524,r,12,36534,6,12,0
275,r,1,36560,5,4,0
255,r,2,36572,8,5,0
346,r,1,36848,5,4,0
406,r,21,37622,7,1,0
450,r,7,37848,4,12,0
181,r,6,37862,9,13,0
465,r,4,38541,3,8,0
154,r,1,38589,5,4,0
237,r,13,38969,6,10,0
307,r,13,39070,6,10,0
343,r,16,39513,3,21,0
466,r,8,39747,4,19,0
425,r,20,39812,6,11,0
502,r,16,40635,3,21,0
414,r,6,40855,9,13,0
193,r,9,41405,5,57,0
412,r,7,41436,4,12,0
250,r,11,41797,2,17,0
212,r,18,41944,1,2,0
17,w,42,42199,6,17,0
154,r,13,42632,6,10,0
344,r,14,43328,8,14,0
394,r,8,43448,4,19,0
255,r,19,43450,9,4,0
133,r,14,44573,8,14,0
285,r,9,44796,5,57,0
12,w,43,44892,7,12,0
503,r,5,45276,3,10,0
306,r,27,45421,8,94,0
122,r,17,46233,7,98,0
250,r,5,46459,3,10,0
430,r,14,46546,8,14,0
186,r,13,47381,6,10,0
258,r,10,47466,4,106,0
282,r,21,47644,7,1,0
190,r,7,47705,4,12,0
286,r,4,47887,3,8,0
262,r,11,48581,2,17,0
437,r,8,49010,4,19,0
372,r,21,49208,7,1,0
275,r,18,49556,1,2,0
430,r,21,50108,7,1,0
460,r,12,50330,6,12,0
519,r,2,50617,8,5,0
368,r,8,51471,4,19,0
528,r,1,51717,5,4,0
97,w,44,51916,4,97,0
289,r,8,52127,4,19,0
194,r,2,52519,8,5,0
363,r,7,53488,4,12,0
436,r,4,53649,3,8,0
377,r,14,54322,8,14,0
489,r,14,54342,8,14,0
411,r,11,54766,2,17,0
510,r,10,55341,4,106,0
206,r,18,55402,1,2,0
532,r,12,55984,6,12,0
216,r,25,56239,8,100,0
241,r,13,56707,6,10,0
285,r,3,57084,4,5,0
237,r,19,57091,9,4,0
304,r,14,57641,8,14,0
217,r,12,57786,6,12,0
440,r,14,58150,8,14,0
508,r,3,58894,4,5,0
242,r,3,59027,4,5,0
425,r,11,59300,2,17,0
313,r,5,60298,3,10,0
218,r,17,60306,7,98,0
284,r,1,60494,5,4,0
255,r,2,60810,8,5,0
458,r,2,61032,8,5,0
389,r,12,61614,6,12,0
117,r,16,61932,3,21,0
336,r,8,62244,4,19,0
219,r,14,62588,8,14,0
293,r,12,62626,6,12,0
520,r,5,63270,3,10,0
325,r,5,63460,3,10,0
249,r,12,63524,6,12,0
456,r,1,64353,5,4,0
359,r,21,64499,7,1,0
283,r,9,64549,5,57,0
169,r,2,65239,8,5,0
512,r,2,65909,8,5,0
507,r,18,66700,1,2,0
4,w,45,66936,5,4,0
332,r,14,66939,8,14,0
455,r,12,67487,6,12,0
10,w,46,68211,5,10,0
358,r,20,69269,6,11,0
6,w,47,69532,5,6,0
479,r,2,69680,8,5,0
298,r,27,69758,8,94,0
523,r,2,69777,8,5,0
420,r,9,70303,5,57,0
112,r,4,70749,3,8,0
419,r,9,71072,5,57,0
420,r,19,71192,9,4,0
230,r,28,71488,6,73,0
233,r,18,71541,1,2,0
241,r,2,72237,8,5,0
211,r,4,72472,3,8,0
485,r,5,72599,3,10,0
217,r,17,72859,7,98,0
445,r,19,72955,9,4,0
467,r,14,73434,8,14,0
315,r,7,73979,4,12,0
235,r,12,74824,6,12,0
350,r,14,75073,8,14,0
283,r,16,75297,3,21,0
182,r,5,75566,3,10,0
295,r,11,75787,2,17,0
357,r,19,77027,9,4,0
473,r,10,77144,4,106,0
296,r,20,77314,6,11,0
15,w,48,77424,4,15,0
164,r,21,78037,7,1,0
468,r,12,78554,6,12,0
97,w,49,78895,5,97,0
420,r,21,79410,7,1,0
222,r,4,79751,3,8,0
223,r,11,80018,2,17,0
208,r,14,80831,8,14,0
204,r,11,80924,2,17,0
194,r,7,80985,4,12,0
180,r,20,81500,6,11,0
312,r,14,81580,8,14,0
146,r,15,82595,5,75,0
415,r,7,82766,4,12,0
484,r,4,82866,3,8,0
245,r,21,82968,7,1,0
346,r,17,83902,7,98,0
152,r,4,84709,3,8,0
406,r,13,84983,6,10,0
8,w,50,85216,6,8,0
383,r,25,85481,8,100,0
207,r,13,85788,6,10,0
420,r,3,86277,4,5,0
245,r,7,86631,4,12,0
169,r,14,86635,8,14,0
541,r,10,87757,4,106,0
435,r,17,87795,7,98,0
415,r,8,87922,4,19,0
409,r,21,88447,7,1,0
120,r,5,89314,3,10,0
454,r,12,89567,6,12,0
280,r,15,89820,5,75,0
472,r,25,90493,8,100,0
269,r,18,90627,1,2,0
334,r,6,92052,9,13,0
215,r,4,92153,3,8,0
395,r,6,92172,9,13,0
251,r,19,93532,9,4,0
